#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2018 01 31 23 50 237  8.4  9.6  0.50  2.86  2.82 253 1020.0  -1.3   2.8 999.0 99.0 99.00
2018 02 01 00 50 223  9.4 11.1  0.44  2.74  2.86 248 1019.3  -0.4   2.7 999.0 99.0 99.00
2018 02 01 01 50 222  9.3 11.3  0.49  2.74  2.82 221 1018.8   0.0   2.4 999.0 99.0 99.00
2018 02 01 02 50 220 10.9 13.0  0.63  3.23  3.06 227 1018.0   0.4   2.2 999.0 99.0 99.00
2018 02 01 03 50 222  9.7 11.6  0.70  3.45  3.32 229 1018.1   1.0   1.8 999.0 99.0 99.00
2018 02 01 04 50 223  9.6 11.8  0.72  4.17  3.60 252 1017.7   1.6   1.9 999.0 99.0 99.00
2018 02 01 05 50 236  8.5  9.9  0.67  3.70  3.71 248 1018.1   2.2   2.1 999.0 99.0 99.00
2018 02 01 06 50 242  7.0  8.3  0.54  4.00  3.56 264 1018.6   2.4   2.6 999.0 99.0 99.00
2018 02 01 07 50 231  7.6  8.7  0.53  3.85  3.40 264 1018.3   2.8   2.7 999.0 99.0 99.00
2018 02 01 08 50 232  4.9  5.9  0.47  4.00  3.38 281 1018.2   2.5   2.9 999.0 99.0 99.00
2018 02 01 09 50 205  4.5  5.1  0.33  3.45  3.30 284 1018.1   2.5   2.9 999.0 99.0 99.00
2018 02 01 10 50 211  5.3  6.2  0.29  3.13  3.32 279 1017.8   2.7   2.8 999.0 99.0 99.00
2018 02 01 11 50 208  5.7  6.5  0.34  3.03  3.02 246 1017.5   3.1   2.7 999.0 99.0 99.00
2018 02 01 12 50 215  6.0  7.1  0.34  3.45  3.22 230 1017.3   3.3   2.4 999.0 99.0 99.00
2018 02 01 13 50 203  5.9  6.6  0.34  2.74  3.11 217 1017.0   3.3   1.8 999.0 99.0 99.00
2018 02 01 14 50 203  7.1  8.1  0.37  6.67  3.30  75 1016.3   3.6   1.7 999.0 99.0 99.00
2018 02 01 15 50 212  7.4  8.8  0.48  2.94  3.32 211 1015.6   4.0   1.7 999.0 99.0 99.00
2018 02 01 16 50 213  6.0  6.8  0.47  3.33  3.44 241 1015.4   3.6   1.7 999.0 99.0 99.00
2018 02 01 17 50 204  5.2  6.0  0.38  3.23  3.39 236 1014.6   3.5   2.3 999.0 99.0 99.00
2018 02 01 18 50 208  5.9  7.0  0.38  2.94  3.22 221 1013.9   3.7   2.9 999.0 99.0 99.00
2018 02 01 19 50 207  6.2  6.9  0.36  3.23  3.02 248 1014.0   3.8   2.8 999.0 99.0 99.00
2018 02 01 20 50 208  5.7  6.4  0.36  2.74  3.00 224 1014.1   3.7   2.7 999.0 99.0 99.00
2018 02 01 21 50 204  6.0  6.7  0.33  2.60  2.97 219 1014.1   3.8   2.6 999.0 99.0 99.00
2018 02 01 22 50 203  6.2  7.4  0.31  3.23  2.95 290 1014.2   3.7   2.8 999.0 99.0 99.00
2018 02 01 23 50 195  5.1  5.8  0.38  2.60  2.88 190 1014.6   3.4   3.1 999.0 99.0 99.00
2018 02 02 00 50 194  3.9  4.6  0.31  2.94  3.16 235 1014.4   3.2   2.9 999.0 99.0 99.00
2018 02 02 01 50 200  5.9  6.9  0.29  4.17  3.32 197 1013.6   3.4   2.8 999.0 99.0 99.00
2018 02 02 02 50 214  5.3  5.8  0.34  4.55  3.37 301 1013.2   3.2   2.4 999.0 99.0 99.00
2018 02 02 03 50 197  4.8  5.2  0.38  4.35  3.79 226 1012.1   2.9   1.9 999.0 99.0 99.00
2018 02 02 04 50 192  4.4  4.9  0.37  9.09  4.08  78 1010.4   2.8   1.8 999.0 99.0 99.00
2018 02 02 05 50 186  4.1  4.5  0.40  4.00  4.01 112 1009.4   3.0   2.0 999.0 99.0 99.00
2018 02 02 06 50 166  3.7  4.2  0.30  5.56  3.95  87 1008.4   3.5   2.6 999.0 99.0 99.00
2018 02 02 07 50 179  1.8  2.1  0.21 99.00  4.16 999 1007.1   3.8   2.8 999.0 99.0 99.00
2018 02 02 08 50 199  3.8  4.4  0.18 99.00  4.52 999 1006.0   3.9   2.5 999.0 99.0 99.00
2018 02 02 09 50 221  5.1  5.9  0.21 99.00  3.88 999 1005.1   3.9   2.5 999.0 99.0 99.00
2018 02 02 10 50 303  7.4  8.9  0.23 99.00  3.90 999 1005.4   2.7   2.5 999.0 99.0 99.00
2018 02 02 11 50 300  8.2  9.8  0.31  2.25  2.95 287 1005.5   2.2   2.7 999.0 99.0 99.00
2018 02 02 12 50 309  7.6  9.3  0.50  2.94  2.84 293 1006.6   0.9   2.9 999.0 99.0 99.00
2018 02 02 13 50 309  7.4  8.9  0.52  2.86  2.92 302 1007.4   0.5   2.8 999.0 99.0 99.00
2018 02 02 14 50 318 11.2 13.2  0.61  3.03  3.00 320 1007.8  -0.9   2.4 999.0 99.0 99.00
2018 02 02 15 50 305 12.3 15.1  0.92  3.45  3.39 314 1008.5  -2.0   2.0 999.0 99.0 99.00
2018 02 02 16 50 293 13.1 15.3  1.04  3.85  3.70 304 1008.7  -3.0   1.8 999.0 99.0 99.00
2018 02 02 17 50 305 10.5 12.6  0.97  4.55  3.97 286 1009.5  -2.9   2.0 999.0 99.0 99.00
2018 02 02 18 50 306  9.5 12.4  0.90  4.76  4.09 284 1009.8  -2.5   2.6 999.0 99.0 99.00
2018 02 02 19 50 296 11.3 14.1  0.99  4.76  4.20 285 1010.4  -2.1   2.4 999.0 99.0 99.00
2018 02 02 20 50 290 11.7 14.8  1.07  5.00  4.34 280 1011.7  -2.5   2.2 999.0 99.0 99.00
2018 02 02 21 50 301 11.4 14.2  1.18  4.35  4.22 285 1013.2  -3.2   2.2 999.0 99.0 99.00
2018 02 02 22 50 296 11.9 14.2  1.17  4.76  4.04 284 1014.4  -3.7   2.2 999.0 99.0 99.00
2018 02 02 23 50 297 11.9 15.1  1.05  4.76  3.65 283 1015.9  -4.4   2.2 999.0 99.0 99.00
2018 02 03 00 50 302 13.1 15.9  1.10  4.55  3.49 292 1017.3  -5.5   2.2 999.0 99.0 99.00
2018 02 03 01 50 295 12.3 15.1  1.20  4.35  3.57 294 1019.1  -6.5   2.4 999.0 99.0 99.00
2018 02 03 02 50 305 11.4 14.5  1.10  4.35  3.49 301 1020.6  -7.2   2.3 999.0 99.0 99.00
2018 02 03 03 50 316 12.8 15.4  0.89  3.70  3.36 300 1021.3  -7.7   2.0 999.0 99.0 99.00
2018 02 03 04 50 310 10.4 12.7  1.01  3.85  3.56 305 1022.3  -8.5   1.6 999.0 99.0 99.00
2018 02 03 05 50 301  9.8 12.5  1.00  4.00  3.74 303 1023.3  -9.0   1.5 999.0 99.0 99.00
2018 02 03 06 50 303  9.2 12.0  0.93  4.17  3.84 296 1023.9  -9.3   1.8 999.0 99.0 99.00
2018 02 03 07 50 309 11.1 14.6  0.92  4.76  4.12 291 1024.6  -9.4   2.0 999.0 99.0 99.00
2018 02 03 08 50 305 11.3 14.7  1.15  5.00  4.31 280 1025.2  -9.5   1.8 999.0 99.0 99.00
2018 02 03 09 50 312 11.0 13.5  1.05  4.76  4.11 271 1026.2  -9.5   1.5 999.0 99.0 99.00
2018 02 03 10 50 317  9.1 12.0  1.01  4.17  4.00 279 1027.4 -10.0   1.5 999.0 99.0 99.00
2018 02 03 11 50 295  9.1 11.5  0.85  3.70  3.54 297 1028.6  -9.5   1.5 999.0 99.0 99.00
2018 02 03 12 50 300  9.0 11.7  0.74  3.45  3.18 297 1029.6  -8.5   1.5 999.0 99.0 99.00
